Порядковый индекс,ID_маршрута,Номер_маршрута,ID_остановки,Координаты
494,1113,20,16414,"60.000547737862675,30.3482895"
495,1113,20,16414,"60.000547737862675,30.3482895"
496,1113,20,16417,"60.001613212686088,30.3408451"
497,1113,20,16417,"60.001613212686088,30.3408451"
498,1113,20,16420,"60.003214775335969,30.3299923"
499,1113,20,16420,"60.003214775335969,30.3299923"
500,1113,20,16202,"60.005468442173949,30.3269424"
501,1113,20,16202,"60.005468442173949,30.3269424"
502,1113,20,16207,"60.010760540813685,30.3248215"
503,1113,20,16207,"60.010760540813685,30.3248215"
504,1113,20,16211,"60.016655965536614,30.3224468"
505,1113,20,16211,"60.016655965536614,30.3224468"
506,1113,20,16097,"60.020652786347107,30.3208485"
507,1113,20,16097,"60.020652786347107,30.3208485"
508,1113,20,16102,"60.023441059155111,30.3197289"
509,1113,20,16102,"60.023441059155111,30.3197289"
510,1113,20,16104,"60.031770348158524,30.3204327"
511,1113,20,16104,"60.031770348158524,30.3204327"
512,1113,20,16108,"60.036935431529379,30.3232288"
513,1113,20,16108,"60.036935431529379,30.3232288"
514,1113,20,16111,"60.043470799471379,30.3280201"
515,1113,20,16111,"60.043470799471379,30.3280201"
516,1113,20,15997,"60.042532869467635,30.3341198"
517,1113,20,15997,"60.042532869467635,30.3341198"
518,1113,20,24310,"60.041523285948855,30.3393974"
519,1113,20,24310,"60.041523285948855,30.3393974"
520,1113,20,16122,"60.04007025008822,30.3463287"
521,1113,20,16122,"60.04007025008822,30.3463287"
522,1113,20,34945,"60.038780883046549,30.3528996"
523,1113,20,34945,"60.038780883046549,30.3528996"
524,1113,20,16125,"60.037450530958488,30.3592205"
525,1113,20,16125,"60.037450530958488,30.3592205"
526,1113,20,16131,"60.036181529803557,30.3654194"
527,1113,20,16131,"60.036181529803557,30.3654194"
528,1113,20,16212,"60.040595533340834,30.3701839"
529,1113,20,16212,"60.040595533340834,30.3701839"
530,1113,20,16216,"60.044575817366024,30.3737698"
531,1113,20,16216,"60.044575817366024,30.3737698"
532,1113,20,16218,"60.048961418800928,30.3776665"
533,1113,20,16218,"60.048961418800928,30.3776665"
534,1113,20,21235,"60.051532488100321,30.3793907"
535,1113,20,21235,"60.051532488100321,30.3793907"
536,1113,20,16112,"60.052869092232683,30.3779907"
537,1117,21,16169,"59.984031905711582,30.2409801"
538,1117,21,16064,"59.984424828863737,30.2443447"
539,1117,21,16064,"59.984424828863737,30.2443447"
540,1117,21,24337,"59.984144658049814,30.2558098"
541,1117,21,24337,"59.984144658049814,30.2558098"
542,1117,21,16183,"59.983874735144731,30.2642193"
543,1117,21,16183,"59.983874735144731,30.2642193"
544,1117,21,16189,"59.983755148343938,30.2697525"
545,1117,21,16189,"59.983755148343938,30.2697525"
546,1117,21,16195,"59.984417995457477,30.2775021"
547,1117,21,16195,"59.984417995457477,30.2775021"
548,1117,21,16204,"59.985203827931542,30.2870598"
549,1117,21,16204,"59.985203827931542,30.2870598"
550,1117,21,16208,"59.985760732693272,30.2947006"
551,1117,21,16208,"59.985760732693272,30.2947006"
